scenario,hour,price,soc,charge,discharge
51,5,15.11,14.5,30.0,0.0
51,6,13.47,43.0,30.0,0.0
51,7,15.42,71.5,30.0,0.0
51,8,16.86,100.0,0.0,0.0
51,9,17.41,100.0,0.0,0.0
51,10,20.81,100.0,0.0,0.0
51,11,21.37,100.0,0.0,0.0
51,12,26.73,100.0,0.0,0.0
51,13,33.62,100.0,0.0,0.0
51,14,52.81,100.0,0.0,0.0
51,15,46.52,100.0,0.0,30.0
51,16,273.1,68.42105263157895,0.0,9.090622904148587
51,17,970.21,58.85197589036991,0.0,8.302643915244703
51,18,357.9,50.11235071642811,0.0,14.278619800064495
51,19,58.18,35.08222461109706,0.0,12.966908726687164
51,20,42.56,21.43284700405794,0.0,20.361204653855044
51,21,44.84,0.0,0.0,0.0
51,22,33.22,0.0,0.0,0.0
51,23,30.65,0.0,0.0,0.0
51,24,25.45,0.0,0.0,0.0
52,1,17.46,0.0,0.0,0.0
52,2,16.43,0.0,0.0,0.0
52,3,16.34,0.0,0.0,0.0
52,4,15.62,0.0,15.263157894736842,0.0
52,5,15.05,14.5,30.0,0.0
52,6,13.13,43.0,30.0,0.0
52,7,14.22,71.5,30.0,0.0
52,8,15.48,100.0,0.0,0.0
52,9,17.96,100.0,0.0,0.0
52,10,17.7,100.0,0.0,0.0
52,11,19.74,100.0,0.0,0.0
52,12,22.06,100.0,0.0,0.0
52,13,28.15,100.0,0.0,0.0
52,14,47.35,100.0,0.0,0.0
52,15,35.04,100.0,0.0,30.0
52,16,54.34,68.42105263157895,0.0,9.090622904148587
52,17,58.56,58.85197589036991,0.0,8.302643915244703
52,18,56.8,50.11235071642811,0.0,14.278619800064495
52,19,48.21,35.08222461109706,0.0,12.966908726687164
52,20,42.21,21.43284700405794,0.0,20.361204653855044
52,21,34.31,0.0,0.0,0.0
52,22,32.61,0.0,0.0,0.0
52,23,31.29,0.0,0.0,0.0
52,24,21.96,0.0,0.0,0.0
53,1,17.21,0.0,0.0,0.0
53,2,14.63,0.0,0.0,0.0
53,3,15.31,0.0,0.0,0.0
53,4,14.06,0.0,15.263157894736842,0.0
53,5,13.76,14.5,30.0,0.0
53,6,11.43,43.0,30.0,0.0
53,7,10.63,71.5,30.0,0.0
53,8,13.84,100.0,0.0,0.0
53,9,16.69,100.0,0.0,0.0
53,10,18.22,100.0,0.0,0.0
53,11,20.06,100.0,0.0,0.0
53,12,21.98,100.0,0.0,0.0
53,13,25.42,100.0,0.0,0.0
53,14,49.55,100.0,0.0,0.0
53,15,42.71,100.0,0.0,30.0
53,16,67.31,68.42105263157895,0.0,9.090622904148587
53,17,81.16,58.85197589036991,0.0,8.302643915244703
53,18,65.17,50.11235071642811,0.0,14.278619800064495
53,19,47.78,35.08222461109706,0.0,12.966908726687164
53,20,35.87,21.43284700405794,0.0,20.361204653855044
53,21,25.41,0.0,0.0,0.0
53,22,20.86,0.0,0.0,0.0
53,23,24.38,0.0,0.0,0.0
53,24,20.75,0.0,0.0,0.0
54,1,29.22,0.0,0.0,0.0
54,2,18.01,0.0,0.0,0.0
54,3,16.93,0.0,0.0,0.0
54,4,15.65,0.0,15.263157894736842,0.0
54,5,14.05,14.5,30.0,0.0
54,6,13.15,43.0,30.0,0.0
54,7,15.1,71.5,30.0,0.0
54,8,15.19,100.0,0.0,0.0
54,9,17.49,100.0,0.0,0.0
54,10,21.88,100.0,0.0,0.0
54,11,21.74,100.0,0.0,0.0
54,12,32.17,100.0,0.0,0.0
54,13,26.64,100.0,0.0,0.0
54,14,37.24,100.0,0.0,0.0
54,15,36.09,100.0,0.0,30.0
54,16,74.55,68.42105263157895,0.0,9.090622904148587
54,17,166.18,58.85197589036991,0.0,8.302643915244703
54,18,75.98,50.11235071642811,0.0,14.278619800064495
54,19,46.76,35.08222461109706,0.0,12.966908726687164
54,20,41.66,21.43284700405794,0.0,20.361204653855044
54,21,36.95,0.0,0.0,0.0
54,22,32.51,0.0,0.0,0.0
54,23,32.4,0.0,0.0,0.0
54,24,24.47,0.0,0.0,0.0
55,1,16.71,0.0,0.0,0.0
55,2,19.82,0.0,0.0,0.0
55,3,16.47,0.0,0.0,0.0
55,4,14.86,0.0,15.263157894736842,0.0
55,5,14.26,14.5,30.0,0.0
55,6,13.02,43.0,30.0,0.0
55,7,11.83,71.5,30.0,0.0
55,8,13.93,100.0,0.0,0.0
55,9,16.91,100.0,0.0,0.0
55,10,14.22,100.0,0.0,0.0
55,11,18.61,100.0,0.0,0.0
55,12,22.86,100.0,0.0,0.0
55,13,25.29,100.0,0.0,0.0
55,14,43.07,100.0,0.0,0.0
55,15,36.4,100.0,0.0,30.0
55,16,74.52,68.42105263157895,0.0,9.090622904148587
55,17,64.72,58.85197589036991,0.0,8.302643915244703
55,18,71.38,50.11235071642811,0.0,14.278619800064495
55,19,69.86,35.08222461109706,0.0,12.966908726687164
55,20,57.87,21.43284700405794,0.0,20.361204653855044
55,21,36.5,0.0,0.0,0.0
55,22,48.18,0.0,0.0,0.0
55,23,33.01,0.0,0.0,0.0
55,24,21.82,0.0,0.0,0.0
56,1,16.8,0.0,0.0,0.0
56,2,14.3,0.0,0.0,0.0
56,3,15.02,0.0,0.0,0.0
56,4,14.18,0.0,15.263157894736842,0.0
56,5,13.66,14.5,30.0,0.0
56,6,12.51,43.0,30.0,0.0
56,7,13.86,71.5,30.0,0.0
56,8,15.36,100.0,0.0,0.0
56,9,15.94,100.0,0.0,0.0
56,10,16.9,100.0,0.0,0.0
